i,j,fill
2348,1,1
2349,1,1
2350,1,1
2351,1,1
2352,1,1
2355,1,1
2356,1,1
2389,1,1
2390,1,1
2391,1,1
2392,1,1
2393,1,1
2394,1,1
2395,1,1
2726,1,1
2727,1,1
2728,1,1
2729,1,1
2732,1,1
2743,1,1
2744,1,1
2745,1,1
2746,1,1
2755,1,1
2756,1,1
2757,1,1
2758,1,1
2759,1,1
2780,1,1
2781,1,1
2782,1,1
2786,1,1
2787,1,1
2789,1,1
2791,1,1
2792,1,1
2793,1,1
2794,1,1
2795,1,1
2796,1,1
2797,1,1
2798,1,1
2799,1,1
2800,1,1
2801,1,1
2802,1,1
2803,1,1
2809,1,1
2810,1,1
2823,1,1
2845,1,1
2852,1,1
2853,1,1
2854,1,1
2858,1,1
2859,1,1
2860,1,1
2861,1,1
2862,1,1
2863,1,1
2864,1,1
2865,1,1
2866,1,1
2877,1,1
2878,1,1
2900,1,1
2952,1,1
2964,1,1
2968,1,1
2969,1,1
2970,1,1
2971,1,1
2972,1,1
2975,1,1
2991,1,1
2992,1,1
2993,1,1
3002,1,1
3003,1,1
3014,1,1
3017,1,1
3019,1,1
3024,1,1
3027,1,1
3029,1,1
3066,1,1
3068,1,1
3069,1,1
3121,1,1
3122,1,1
3149,1,1
3189,1,1
3192,1,1
3199,1,1
3200,1,1
3202,1,1
3206,1,1
3208,1,1
3221,1,1
3222,1,1
3223,1,1
3224,1,1
3225,1,1
3226,1,1
3227,1,1
3228,1,1
3229,1,1
3230,1,1
3231,1,1
3232,1,1
3234,1,1
3246,1,1
3253,1,1
3260,1,1
3261,1,1
3266,1,1
3277,1,1
3278,1,1
3279,1,1
3281,1,1
3282,1,1
3283,1,1
3284,1,1
3286,1,1
3287,1,1
3288,1,1
3312,1,1
3317,1,1
3318,1,1
3319,1,1
3320,1,1
3324,1,1
3325,1,1
3326,1,1
3328,1,1
3329,1,1
3331,1,1
3334,1,1
3336,1,1
3337,1,1
3338,1,1
3339,1,1
3340,1,1
3343,1,1
3345,1,1
3346,1,1
3347,1,1
3348,1,1
3349,1,1
3350,1,1
3351,1,1
3352,1,1
3354,1,1
3355,1,1
3358,1,1
3360,1,1
3361,1,1
3362,1,1
3363,1,1
